Animal,Sire,Dam,Bucket,Wing_Morph,Food,State_DLM,DLM_Mass,Ovary_Mass,Remaining_Mass,Total_Mass
1024,23,2,B,L,Low,1,4.6,2.2,112.3,119.1
1025,23,2,B,L,Med,2,6.4,10.4,187.8,204.6
1026,23,2,B,L,AD,2,6.1,46.9,216.7,269.7
1027,23,2,B,L,Low,0,0,50,115.8,165.8
1028,23,2,B,L,Med,2,6.1,10.1,208.7,224.9
1029,23,2,B,L,AD,2,6.7,19.7,169.7,196.1
1030,23,2,B,L,Low,0,0,54.7,114.6,169.3
1031,23,2,B,L,Med,2,4.8,30.5,149.2,184.5
1032,23,2,B,L,AD,1,6.7,19.4,195.8,221.9
1033,23,2,B,S,Low,0,0,46.4,76.3,122.7
1034,23,2,B,L,Med,2,4.3,36,138.9,179.2
1035,23,2,B,L,AD,2,6.8,41.6,205.4,253.8
1036,23,3,A,L,Low,2,4.6,4.8,127.5,136.9
1037,23,3,A,L,Med,1,1.5,52.7,128.3,182.5
1038,23,3,A,L,AD,2,5.3,97.7,191.8,294.8
1039,23,3,A,L,Low,2,4.9,15.8,145.4,166.1
1040,23,3,A,L,Med,1,1.4,67.7,107.2,176.3
1041,23,3,A,L,AD,2,7.4,49,196.8,253.2
1042,23,3,A,L,Low,2,4.4,8.9,120,133.3
1043,23,3,A,L,Med,0,0,68.6,92.2,160.8
1044,23,3,A,L,AD,2,4.3,125.8,143.5,273.6
1045,23,3,A,L,Low,1,0.9,41.9,85.7,128.5
1046,23,3,A,S,Med,0,0,86,98.3,184.3
1047,23,3,A,S,AD,0,0,15.3,156.2,171.5
1048,23,3,A,L,Low,0,0,4,112.4,116.4
1049,23,3,A,L,Med,1,6.2,24.8,184.4,215.4
1050,23,3,B,L,Low,1,6.6,32.3,180.2,219.1
1051,23,3,B,L,Med,0,0,47.4,106.8,154.2
1052,23,3,B,L,AD,2,6.2,72,165.3,243.5
1053,23,3,B,L,Low,0,0,12.5,109.1,121.6
1054,23,3,B,L,Med,2,5.8,32.8,164.7,203.3
1055,23,3,B,S,AD,0,0,3.8,136.1,139.9
1056,23,3,B,S,Low,0,0,27.8,86.8,114.6
1057,23,3,B,L,Med,1,2.2,6,135.3,143.5
1058,23,3,B,L,AD,2,4.9,42,137.9,184.8
1059,23,3,B,L,Low,1,0.9,36.9,107.9,145.7
1060,23,3,B,L,Med,1,1.9,26,119.9,147.8
1061,23,3,B,L,AD,2,7.6,24.3,212.8,244.7
1062,23,3,B,L,Low,2,4.7,14,120.7,139.4
1063,23,3,B,L,Med,0,0,65,86.9,151.9
1064,23,3,B,L,AD,2,7,50.9,172.7,230.6
1065,25,1,A,L,Low,1,5,1.3,92,98.3
1066,25,1,A,L,Med,1,0.2,5.1,104.9,110.2
1067,25,1,A,L,AD,2,3.4,20.4,93.8,117.6
1068,25,1,A,L,Low,1,2.5,23.5,86.2,112.2
1069,25,1,A,S,Med,0,0,12.4,116.6,129
1070,25,1,A,S,AD,0,0,118.8,143,261.8
1071,25,1,A,L,Low,1,1.1,5.9,85.2,92.2
1072,25,1,A,L,Med,1,1.1,12.3,137.4,150.8
1073,25,1,A,S,AD,1,0.4,95.4,96.6,192.4
1074,25,1,B,L,Low,1,1,12.8,128.2,142
1075,25,1,B,S,Med,0,0,49.4,87.7,137.1
1076,25,1,B,S,AD,0,0,80.4,88.6,169
1077,25,1,B,S,Low,0,0,43.7,133.5,177.2
1078,25,1,B,L,Med,1,4.2,14.6,153.4,172.2
1079,25,1,B,L,AD,0,0,41.1,116.2,157.3
1080,25,1,B,L,Low,1,0.4,9.4,97.8,107.6
1081,25,1,B,L,Med,1,1.1,22.1,125.3,148.5
1082,25,1,B,L,AD,0,0,107.5,107.5,215
1083,25,2,A,L,Low,0,0,33.2,85.7,118.9
1084,25,2,A,L,Med,1,3.8,4.9,145.8,154.5
1085,25,2,A,L,AD,1,5.9,20,173.7,199.6
1086,25,2,A,L,Low,0,0,2.2,91.5,93.7
1087,25,2,A,L,Med,1,4.4,29.3,139.8,173.5
1088,25,2,A,L,AD,1,5.4,5.1,186,196.5
1089,25,2,A,L,Low,1,3.7,14,133,150.7
1090,25,2,A,L,Med,1,5.6,10.1,140,155.7
1091,25,2,A,L,AD,0,0,119.6,139.5,259.1
1092,25,2,A,L,Low,1,4,10.4,116.2,130.6
1093,25,2,A,L,Med,1,0.7,66.9,100.7,168.3
1094,25,2,A,L,AD,2,4.2,35.1,130.8,170.1
1095,25,2,A,L,Low,2,5,8,150.9,163.9
1096,25,2,A,L,Med,1,5.5,16.7,156.1,178.3
1097,25,2,A,L,AD,2,5.9,38.7,165.9,210.5
1098,25,2,B,L,Low,1,3.7,2.7,110.7,117.1
1099,25,2,B,L,Med,2,3.3,10.4,114.6,128.3
1100,25,2,B,L,AD,0,0,24.7,67.5,92.2
1101,25,2,B,L,Low,0,0,34.9,73,107.9
1102,25,2,B,L,Med,2,3,14.5,103.9,121.4
1103,25,2,B,L,AD,1,5.2,31.3,165.7,202.2
1104,25,2,B,L,Low,2,4,5.8,110.4,120.2
1105,25,2,B,L,Med,2,3.6,7.7,117.3,128.6
